statement_id,variant_id,disease_id,drug_id
0,0,0,
1,1,1,
2,1,2,
3,1,3,
4,2,1,
5,3,2,
6,3,4,
7,3,5,
8,4,6,
9,4,7,
10,4,8,
11,4,9,
12,4,10,
13,4,11,
14,4,12,
15,4,2,
16,4,13,
17,4,14,
18,4,15,
19,4,16,
20,4,17,
21,4,18,
22,4,19,
23,4,20,
24,4,21,
25,5,10,
26,5,7,
27,5,2,
28,5,14,
29,5,22,
30,5,23,
31,5,24,
32,5,17,
33,5,20,
34,5,25,
35,5,26,
36,5,27,
37,6,10,
38,6,14,
39,6,22,
40,6,2,
41,6,24,
42,7,10,
43,7,14,
44,8,10,
45,9,28,
46,9,10,
47,10,28,
48,10,10,
49,11,10,
50,12,10,
51,13,10,
52,13,14,
53,14,29,
54,15,29,
55,15,2,
56,16,30,
57,16,2,
58,17,31,
59,17,32,
60,17,2,
61,18,33,
62,18,2,
63,19,33,
64,19,2,
65,20,33,
66,20,2,
67,21,33,
68,21,2,
69,22,34,
70,22,35,
71,22,2,
72,22,36,
73,23,34,
74,23,2,
75,23,37,
76,23,35,
77,23,38,
78,24,34,
79,24,35,
80,24,2,
81,24,38,
82,25,34,
83,25,2,
84,26,39,
85,26,2,
86,26,40,
87,27,39,
88,28,39,
89,29,41,
90,30,42,
91,31,43,
92,31,44,
93,32,43,
94,32,44,
95,32,2,
96,32,45,
97,33,43,
98,34,46,
99,35,47,
100,35,2,
101,35,48,
102,35,49,
103,36,47,
104,37,50,
105,38,51,
106,38,2,
107,39,51,
108,40,51,
109,41,52,
110,42,53,
111,42,54,
112,42,52,
113,43,53,
114,43,2,
115,44,53,
116,45,53,
117,45,2,
118,46,53,
119,46,55,
120,46,2,
121,47,52,
122,47,2,
123,48,52,
124,49,52,
125,50,52,
126,50,2,
127,51,52,
128,52,56,
129,52,57,
130,53,57,
131,53,56,
132,53,2,
133,53,58,
134,54,56,
135,55,59,
136,55,2,
137,56,59,
138,57,59,
139,57,60,
140,58,61,
141,59,61,
142,59,2,
143,60,61,
144,61,61,
145,62,61,
146,63,62,
147,63,63,
148,63,24,
149,63,2,
150,64,64,
151,65,64,
152,66,64,
153,66,38,
154,67,65,
155,67,66,
156,67,13,
157,67,67,
158,68,68,
159,69,68,
160,70,68,
161,71,68,
162,72,69,
163,72,70,
164,72,2,
165,72,71,
166,72,72,
167,72,73,
168,73,74,
169,73,71,
170,73,72,
171,73,70,
172,74,74,
173,74,2,
174,74,71,
175,74,72,
176,74,70,
177,75,74,
178,75,70,
179,75,2,
180,75,71,
181,75,73,
182,75,72,
183,75,75,
184,75,76,
185,76,74,
186,77,74,
187,77,71,
188,77,2,
189,77,72,
190,77,70,
191,78,74,
192,79,74,
193,79,71,
194,80,74,
195,80,71,
196,80,73,
197,80,72,
198,80,2,
199,80,70,
200,81,70,
201,81,74,
202,81,2,
203,81,71,
204,81,72,
205,82,74,
206,82,2,
207,82,73,
208,82,71,
209,82,70,
210,82,72,
211,83,70,
212,83,2,
213,83,71,
214,84,70,
215,84,71,
216,85,69,
217,85,2,
218,85,71,
219,85,73,
220,85,70,
221,85,72,
222,86,69,
223,86,2,
224,86,71,
225,86,72,
226,86,70,
227,87,77,
228,87,78,
229,88,79,
230,89,79,
231,90,79,
232,91,79,
233,91,2,
234,91,80,
235,92,79,
236,92,24,
237,93,79,
238,94,81,
239,95,81,
240,95,2,
241,96,81,
242,97,81,
243,98,81,
244,98,82,
245,99,81,
246,100,81,
247,101,81,
248,102,81,
249,103,81,
250,104,81,
251,105,81,
252,105,35,
253,106,81,
254,107,81,
255,107,2,
256,107,24,
257,108,83,
258,108,81,
259,109,81,
260,110,81,
261,111,81,
262,112,81,
263,113,81,
264,114,81,
265,114,2,
266,115,81,
267,116,81,
268,117,81,
269,118,81,
270,119,81,
271,119,35,
272,120,81,
273,120,82,
274,121,81,
275,122,81,
276,123,83,
277,123,81,
278,124,81,
279,125,81,
280,126,84,
281,127,84,
282,128,84,
283,128,2,
284,129,84,
285,130,85,
286,131,86,
287,131,78,
288,132,86,
289,133,87,
290,133,2,
291,133,88,
292,133,89,
293,133,4,
294,133,90,
295,133,91,
296,134,87,
297,134,88,
298,134,89,
299,134,2,
300,135,88,
301,136,88,
302,137,92,
303,138,93,
304,138,94,
305,139,93,
306,140,93,
307,140,94,
308,141,95,
309,141,2,
310,142,95,
311,143,95,
312,144,95,
313,145,95,
314,146,95,
315,147,95,
316,148,96,
317,148,97,
318,149,97,
319,150,97,
320,151,97,
321,152,97,
322,152,2,
323,153,97,
324,154,98,
325,155,98,
326,155,2,
327,156,99,
328,157,100,
329,158,100,
330,159,100,
331,159,2,
332,160,99,
333,161,99,
334,162,101,
335,162,24,
336,162,2,
337,163,100,
338,164,99,
339,165,99,
340,165,2,
341,166,100,
342,167,100,
343,167,2,
344,168,100,
345,169,102,
346,169,24,
347,169,2,
348,169,103,
349,170,102,
350,170,103,
351,170,2,
352,171,104,
353,171,105,
354,172,104,
355,172,105,
356,173,104,
357,173,106,
358,174,107,
359,174,2,
360,174,108,
361,174,109,
362,174,73,
363,174,110,
364,175,107,
365,175,2,
366,176,107,
367,176,2,
368,176,108,
369,177,107,
370,177,108,
371,177,2,
372,177,111,
373,177,20,
374,178,107,
375,178,2,
376,179,112,
377,180,113,
378,180,4,
379,181,113,
380,182,113,
381,183,113,
382,184,114,
383,184,2,
384,184,115,
385,184,116,
386,185,114,
387,185,2,
388,185,4,
389,185,24,
390,185,115,
391,185,116,
392,186,114,
393,186,2,
394,186,116,
395,187,117,
396,187,2,
397,188,117,
398,188,2,
399,188,116,
400,188,118,
401,188,115,
402,189,117,
403,189,2,
404,189,115,
405,189,116,
406,190,117,
407,190,2,
408,190,24,
409,190,115,
410,190,116,
411,191,117,
412,191,2,
413,191,115,
414,191,116,
415,192,114,
416,192,2,
417,193,119,
418,193,2,
419,193,118,
420,193,120,
421,193,115,
422,194,121,
423,194,2,
424,194,122,
425,194,115,
426,194,116,
427,195,121,
428,195,2,
429,195,115,
430,196,121,
431,196,120,
432,196,2,
433,196,115,
434,196,116,
435,196,123,
436,196,118,
437,196,124,
438,197,120,
439,197,125,
440,197,2,
441,197,115,
442,198,120,
443,198,125,
444,198,2,
445,198,115,
446,198,126,
447,199,125,
448,199,2,
449,199,115,
450,199,120,
451,200,127,
452,200,2,
453,201,114,
454,201,2,
455,201,116,
456,202,117,
457,202,2,
458,203,114,
459,203,2,
460,204,114,
461,204,2,
462,205,114,
463,205,2,
464,206,120,
465,206,128,
466,206,2,
467,206,115,
468,206,129,
469,207,120,
470,207,2,
471,207,116,
472,208,130,
473,208,2,
474,208,4,
475,208,115,
476,208,116,
477,208,120,
478,208,131,
479,209,127,
480,209,2,
481,210,121,
482,210,2,
483,211,121,
484,211,2,
485,212,117,
486,212,2,
487,212,115,
488,212,24,
489,212,116,
490,212,120,
491,213,125,
492,213,2,
493,214,121,
494,214,2,
495,215,121,
496,215,2,
497,216,114,
498,216,2,
499,216,116,
500,217,132,
501,218,132,
502,219,132,
503,220,132,
504,220,2,
505,221,133,
506,221,24,
507,221,2,
508,221,108,
509,221,134,
510,221,73,
511,221,109,
512,221,20,
513,222,133,
514,223,135,
515,223,2,
516,223,136,
517,224,135,
518,224,136,
519,224,2,
520,225,137,
521,225,2,
522,226,137,
523,227,137,
524,227,2,
525,227,13,
526,227,138,
527,227,139,
528,228,137,
529,229,137,
530,230,137,
531,230,2,
532,230,13,
533,230,139,
534,230,140,
535,231,137,
536,231,2,
537,231,13,
538,232,137,
539,233,137,
540,233,2,
