statement_id,significance
0,Uncertain significance
1,Pathogenic
2,Pathogenic
3,Pathogenic
4,Pathogenic
5,Uncertain significance
6,Uncertain significance
7,Uncertain significance
8,Conflicting interpretations of pathogenicity; other; risk factor
9,Conflicting interpretations of pathogenicity; other; risk factor
10,Conflicting interpretations of pathogenicity; other; risk factor
11,Conflicting interpretations of pathogenicity; other; risk factor
12,Conflicting interpretations of pathogenicity; other; risk factor
13,Conflicting interpretations of pathogenicity; other; risk factor
14,Conflicting interpretations of pathogenicity; other; risk factor
15,Conflicting interpretations of pathogenicity; other; risk factor
16,Conflicting interpretations of pathogenicity; other; risk factor
17,Conflicting interpretations of pathogenicity; other; risk factor
18,Conflicting interpretations of pathogenicity; other; risk factor
19,Conflicting interpretations of pathogenicity; other; risk factor
20,Conflicting interpretations of pathogenicity; other; risk factor
21,Conflicting interpretations of pathogenicity; other; risk factor
22,Conflicting interpretations of pathogenicity; other; risk factor
23,Conflicting interpretations of pathogenicity; other; risk factor
24,Conflicting interpretations of pathogenicity; other; risk factor
25,Conflicting interpretations of pathogenicity; other
26,Conflicting interpretations of pathogenicity; other
27,Conflicting interpretations of pathogenicity; other
28,Conflicting interpretations of pathogenicity; other
29,Conflicting interpretations of pathogenicity; other
30,Conflicting interpretations of pathogenicity; other
31,Conflicting interpretations of pathogenicity; other
32,Conflicting interpretations of pathogenicity; other
33,Conflicting interpretations of pathogenicity; other
34,Conflicting interpretations of pathogenicity; other
35,Conflicting interpretations of pathogenicity; other
36,Conflicting interpretations of pathogenicity; other
37,Conflicting interpretations of pathogenicity
38,Conflicting interpretations of pathogenicity
39,Conflicting interpretations of pathogenicity
40,Conflicting interpretations of pathogenicity
41,Conflicting interpretations of pathogenicity
42,Uncertain significance
43,Uncertain significance
44,Pathogenic
45,Uncertain significance
46,Uncertain significance
47,Uncertain significance
48,Uncertain significance
49,Pathogenic
50,Pathogenic
51,Pathogenic
52,Pathogenic
53,Pathogenic
54,Likely pathogenic
55,Likely pathogenic
56,Pathogenic
57,Pathogenic
58,Uncertain significance
59,Uncertain significance
60,Uncertain significance
61,Pathogenic/Likely pathogenic
62,Pathogenic/Likely pathogenic
63,Conflicting interpretations of pathogenicity
64,Conflicting interpretations of pathogenicity
65,Pathogenic
66,Pathogenic
67,Pathogenic/Likely pathogenic
68,Pathogenic/Likely pathogenic
69,Pathogenic
70,Pathogenic
71,Pathogenic
72,Pathogenic
73,Pathogenic
74,Pathogenic
75,Pathogenic
76,Pathogenic
77,Pathogenic
78,Pathogenic
79,Pathogenic
80,Pathogenic
81,Pathogenic
82,Pathogenic
83,Pathogenic
84,Conflicting interpretations of pathogenicity
85,Conflicting interpretations of pathogenicity
86,Conflicting interpretations of pathogenicity
87,Pathogenic
88,Pathogenic
89,risk factor
90,risk factor
91,Pathogenic
92,Pathogenic
93,Conflicting interpretations of pathogenicity
94,Conflicting interpretations of pathogenicity
95,Conflicting interpretations of pathogenicity
96,Conflicting interpretations of pathogenicity
97,Pathogenic
98,Pathogenic
99,Pathogenic/Likely pathogenic
100,Pathogenic/Likely pathogenic
101,Pathogenic/Likely pathogenic
102,Pathogenic/Likely pathogenic
103,Likely pathogenic
104,Pathogenic
105,Uncertain significance
106,Uncertain significance
107,Pathogenic
108,Pathogenic
109,Pathogenic
110,Pathogenic
111,Pathogenic
112,Pathogenic
113,Uncertain significance
114,Uncertain significance
115,Pathogenic
116,Uncertain significance
117,Uncertain significance
118,Conflicting interpretations of pathogenicity
119,Conflicting interpretations of pathogenicity
120,Conflicting interpretations of pathogenicity
121,Likely pathogenic
122,Likely pathogenic
123,Pathogenic
124,Pathogenic
125,Pathogenic
126,Pathogenic
127,Conflicting interpretations of pathogenicity
128,Pathogenic/Likely pathogenic
129,Pathogenic/Likely pathogenic
130,Pathogenic
131,Pathogenic
132,Pathogenic
133,Pathogenic
134,Pathogenic
135,Pathogenic
136,Pathogenic
137,Pathogenic
138,Pathogenic
139,Pathogenic
140,Pathogenic
141,Likely pathogenic
142,Likely pathogenic
143,Likely pathogenic
144,Pathogenic
145,Pathogenic
146,Benign
147,Benign
148,Benign
149,Benign
150,Pathogenic
151,Pathogenic
152,Pathogenic
153,Pathogenic
154,Pathogenic
155,Pathogenic
156,Pathogenic
157,Pathogenic
158,Pathogenic
159,Pathogenic
160,Pathogenic
161,Pathogenic
162,Pathogenic
163,Pathogenic
164,Pathogenic
165,Pathogenic
166,Pathogenic
167,Pathogenic
168,Pathogenic/Likely pathogenic
169,Pathogenic/Likely pathogenic
170,Pathogenic/Likely pathogenic
171,Pathogenic/Likely pathogenic
172,Pathogenic/Likely pathogenic
173,Pathogenic/Likely pathogenic
174,Pathogenic/Likely pathogenic
175,Pathogenic/Likely pathogenic
176,Pathogenic/Likely pathogenic
177,Conflicting interpretations of pathogenicity
178,Conflicting interpretations of pathogenicity
179,Conflicting interpretations of pathogenicity
180,Conflicting interpretations of pathogenicity
181,Conflicting interpretations of pathogenicity
182,Conflicting interpretations of pathogenicity
183,Conflicting interpretations of pathogenicity
184,Conflicting interpretations of pathogenicity
185,Pathogenic
186,Pathogenic/Likely pathogenic
187,Pathogenic/Likely pathogenic
